IAUNAME,UID,RA,DEC,RADEC_ERR,EXT,ML_FLUX_1,QUAIA_source_id,QUAIA_redshift,QUAIA_redshift_err,CLUSTER_NAME,SEPARATION,CLUSTER_Z,CLUSTER_FLUX,CLUSTER_R500,SEPARATION_R
1eRASS J055039.9-223242,108911400026,87.66650753708144,-22.545270330680747,2.9860870838165283,0.0,2.321933335706905e-13,2916003969007092480,0.4391221554452395,0.3008679131069183,1eRASS J055031.7-223145,0.035457526468674144,0.0873,1.9865e-13,565.0,215.60537183336237
1eRASS J054727.8-472319,108913800065,86.86614482158029,-47.3886987939547,2.5327537059783936,0.0,1.0652923313446416e-13,4795066832611664256,0.4425238753776449,0.12023597270965578,1eRASS J054751.4-472406,0.06791151268005954,0.0515,7.6542e-13,705.0,254.10025740446326
1eRASS J055620.4-612130,108915000037,89.08536930339203,-61.358435293636845,1.081570029258728,0.0,1.4953927581894816e-13,4758649010339060864,0.32089072465896606,0.09838057760238647,1eRASS J055552.5-612412,0.07167465662096416,0.0376,6.0237e-13,562.0,199.08301383565444
1eRASS J061515.9-291528,109412000042,93.81666407475302,-29.257885619915164,2.739715814590454,0.0,1.3346501638242247e-13,2896897579353078656,1.6846500635147095,0.1299983267402649,1eRASS J061534.4-291549,0.06736294125642917,0.0546,2.9252e-13,592.0,266.23516935456024
1eRASS J061130.3-590452,109415000021,92.87643635177452,-59.081190169769876,1.714083194732666,0.0,1.683051349113049e-13,5494564757128419328,0.8273761868476868,0.07830000000000004,1eRASS J061125.5-590439,0.010905746602887194,0.229,1.9539999999999998e-13,947.0,148.47526029017766
1eRASS J100254.4+324037,115005700004,150.72689513013609,32.677213378565106,1.7256699800491333,0.0,6.502865737209595e-13,746689208395522816,0.8253270983695984,0.2868208329677582,1eRASS J100236.9+324210,0.06664742441913336,0.0508,1.18409e-12,759.0,246.18631436179555
1eRASS J111110.6+212925,116706900016,167.79417375302333,21.490343950545537,3.326317071914673,0.0,2.3693625728939127e-13,3991378975791448448,0.9290398955345154,0.09849877497673032,1eRASS J111111.5+213116,0.031074045514322184,0.1354,2.0454e-13,665.0,277.3137861465587
1eRASS J112230.7-074723,117109900035,170.62825515560837,-7.789923126948171,2.6747500896453857,0.0,1.9457433711109196e-13,3783635878745849216,0.3548814771098526,0.10899589757919313,1eRASS J112243.7-074037,0.12489263237498512,0.0246,7.6238e-13,472.0,230.55318201867115
1eRASS J114805.2-023302,117909300009,177.02183365320755,-2.550719037172624,3.549351453781128,0.0,1.8650413245030473e-13,3600619002910501376,0.562110960483551,0.12867422342300414,1eRASS J114808.9-023308,0.015633804218507418,0.3125,2.185e-13,1099.0,266.0659368714926
1eRASS J120702.5-254015,118211700015,181.7608319879523,-25.670860172688265,2.258058786392212,0.0,2.5505213717934294e-13,3488424497109900032,0.48964723944664,0.0691206482887268,1eRASS J120707.6-254130,0.028359312745025858,0.0252,1.51659e-12,563.0,53.58946722419471
1eRASS J121858.4-050113,118509600003,184.7434893943179,-5.020500865459357,1.3846454620361328,0.0,1.3732022246734643e-12,3596852698846026496,0.4472163915634155,0.20524246280670164,1eRASS J121903.9-045945,0.033477312793717955,0.0813,3.9371000000000005e-13,742.0,190.90585817940485
1eRASS J124223.2+194718,119006900002,190.59674017945787,19.788571181140703,1.0906718969345093,0.0,1.2484973992143988e-12,3948228818053485952,0.15985673666000366,0.045904744563102715,1eRASS J124219.2+194557,0.02749054916481253,0.1647,3.4485999999999996e-13,948.0,288.7719744288002
1eRASS J124406.8+113522,119107800087,191.02850928735438,11.58963439246666,4.211578845977783,0.0,1.024410862127817e-13,3927661108730724096,2.6200554370880127,0.1143200000000002,1eRASS J124339.9+113309,0.11568730251265281,0.0037,2.71462e-12,264.0,32.951418067085015
1eRASS J125038.4-142829,119210500033,192.66008344609145,-14.474847013168969,2.729590654373169,0.0,2.0595808045142938e-13,3525427152193339008,0.39725615998557673,0.0719608619213104,1eRASS J125030.2-142534,0.05872716890689675,0.0427,9.5098e-13,698.0,184.1147975607084
1eRASS J125445.0+035022,119408700016,193.68786326222755,3.839593789708134,3.18274188041687,0.0,2.6290417325797177e-13,3704562262355964032,0.4029252529144287,0.09368842704772948,1eRASS J125452.2+035312,0.05564016627141426,0.0483,2.3971e-13,475.0,195.9962802791613
1eRASS J132407.6-315647,119912300013,201.03182257390864,-31.946416168795075,1.6768848896026611,0.0,4.429767913160382e-13,6169337998033233664,0.3314775875301822,0.07882453869819639,1eRASS J132352.6-315947,0.07284140416351782,0.0483,6.37e-14,340.0,256.58881385649795
1eRASS J133150.5-024711,120309300068,202.9605535272915,-2.786477947645361,2.9999749660491943,0.0,1.167703087001648e-13,3637144577322563200,1.523963451385498,0.10704654087066656,1eRASS J133146.1-024244,0.0763414237167319,0.021,2.8146e-13,364.0,120.830729816156
1eRASS J151933.3-240714,122911400012,229.88892897837223,-24.12070089478636,1.946171760559082,0.0,2.69553639391934e-13,6227067512457747712,0.5485060811042786,0.09789924743652345,1eRASS J151828.4-240412,0.25207935044700946,0.0078,1.40731e-12,393.0,150.60211192144095
1eRASS J151942.7-241154,122911400049,229.9279472831477,-24.198482605157718,2.714850425720215,0.0,1.0238790609622128e-13,6227063797305633408,0.5667248207713397,0.2288167235565185,1eRASS J151828.4-240412,0.31026291813641543,0.0078,1.40731e-12,393.0,185.3632621608798
1eRASS J200912.6-482644,130113800005,302.30289940368027,-48.445685355481984,2.060237169265747,0.0,4.81225898973231e-13,6667560114244741376,0.6611583828926086,0.2728796618509292,1eRASS J200956.9-482232,0.14089941256296168,0.01,1.18276e-12,345.0,107.63093602484093
1eRASS J222009.5-620200,133815300032,335.0399143461422,-62.03336591287042,3.6684608459472656,0.0,1.7162859404073333e-13,6406029621330192256,0.967,0.13448872426986697,1eRASS J222000.3-620520,0.05854662675145289,0.0634,3.7846e-13,624.0,265.8952366703953
1eRASS J232500.7-651910,135015600008,351.25299000005907,-65.31967505877056,2.3028342723846436,0.0,2.955471967418938e-13,6390346909026840064,0.6280508637428284,0.13621342732021327,1eRASS J232503.6-651954,0.013185753815910129,0.1864,2.6851e-13,898.0,153.04126653387598
